unique_id,instrument,bjd,rv,rv_err,fwhm,contrast,BIS
00856816,Hermes,58073.4397676,-23.836,0.03,14.223113072,0.37,-0.158600255762
00857042,Hermes,58074.3730993,-14.372,0.034,14.8824626846,0.4,-0.89314084504
00857817,Hermes,58077.4412783,-36.1708155771,0.062,19.2624279684,0.21,0.683965280166
00864231,Hermes,58141.3208414,-33.6208155771,0.065,19.8040365787,0.2,1.00261236562
00864411,Hermes,58142.3637567,-32.0898155771,0.043,17.5434093355,0.27,0.237115308558
00864577,Hermes,58143.3167571,-22.759,0.027,13.8934382657,0.38,-0.138434208084
00864739,Hermes,58144.3258481,-12.755,0.036,15.5653604977,0.39,-1.07355705107
00864917,Hermes,58145.3151341,-3.75018442294,0.053,20.1101631846,0.34,-1.70703360675
00865091,Hermes,58146.3209534,-14.0893688459,0.062,21.8998264188,0.24,-0.50425367488
00875773,Hermes,58239.693227,-25.2729221147,0.033,14.3879504751,0.36,-0.208797565832
00876003,Hermes,58241.7000223,-6.19718442294,0.048,19.3566207702,0.36,-1.43581671493
00876175,Hermes,58242.7387096,-4.10229096056,0.083,24.5607730697,0.24,-1.87986408874
00876336,Hermes,58243.7168127,-37.0458155771,0.068,19.5450063738,0.21,0.637427077843
00876588,Hermes,58245.6748047,-19.1101844229,0.033,13.9405346666,0.4,-0.536649321795
00876764,Hermes,58246.6787857,-9.63,0.043,17.7082467386,0.37,-1.37868901736
00877022,Hermes,58247.6592472,0.0174467311866,0.077,22.5120796305,0.3,-2.58122636142
00894900,Hermes,58377.6642017,-37.8071844229,0.07,19.8511329796,0.2,0.96051325724
00895004,Hermes,58378.4231826,-33.2524467312,0.046,17.6140539368,0.27,-0.104339047504
00895148,Hermes,58379.5725128,-22.2341844229,0.031,13.5873116598,0.4,-0.398191082729
00895280,Hermes,58380.5914237,-12.268,0.04,16.5308367161,0.38,-1.26726682033
00895400,Hermes,58381.5000485,-3.698,0.057,20.5340307927,0.34,-1.87660860202
00895520,Hermes,58382.4221874,-14.0138155771,0.068,22.7004652341,0.24,-0.69222662792
00895671,Hermes,58383.5621155,-35.395,0.052,18.461789153,0.24,0.21755012816
00895807,Hermes,58384.5321417,-26.3153688459,0.033,14.5998842792,0.35,-0.177349384462
00895939,Hermes,58385.5236902,-16.4226311541,0.034,14.6234324796,0.4,-0.853836054113
00901501,Hermes,58437.3853317,-34.32,0.046,17.8259877409,0.26,0.237848142214
00902031,Hermes,58438.4523617,-24.1601844229,0.029,13.7992454639,0.38,-0.230531940194
00902638,Hermes,58439.4275831,-14.3711844229,0.036,15.3769748941,0.4,-1.08325692055
00903398,Hermes,58443.3806602,-28.5218155771,0.032,15.1885892904,0.33,-0.0744096269052
00913935,Hermes,58549.7813635,-37.7263688459,0.054,18.5088855539,0.23,0.625133231645
00914203,Hermes,58551.7845292,-18.4841844229,0.032,14.3408540742,0.4,-0.641665732296
00914341,Hermes,58552.7841344,-9.51473769175,0.045,18.3204999503,0.37,-1.39424254253
00914478,Hermes,58553.7834946,-1.58,0.079,24.1369054616,0.27,-2.16810774095
01000381,Hermes,59332.702604900114,-32.537737691751225,0.065,19.56855457420719,0.2,1.0579936130532026
01007683,Hermes,59404.68766049994,-16.932475383502457,0.03,13.705052662080126,0.4,-0.39977760647449756
01007781,Hermes,59405.69082369981,-7.348106537626836,0.043,16.931156123772528,0.38,-1.421175708858283
01007879,Hermes,59406.68917190004,2.458815577062199,0.067,22.017567421039374,0.32,-2.0438270816769064
01008053,Hermes,59409.661894000135,-20.823106537626842,0.03,13.846341864781982,0.37,-0.181849388885734
01011763,Hermes,59435.65822280012,-28.892184422937802,0.044,17.072445326474384,0.28,-0.07606053625287146
01011858,Hermes,59436.663254399784,-19.206368845875613,0.029,13.705052662080126,0.39,-0.2915225353503601
