unique_id   star_name      bjd   exp_time bary_corr RV_drift telluric_offset terruric_offset_err width_telfit rv rv_err n_lines depth_ccf depth_ccf_err sigma_ccf sigma_ccf_err snr  O_C wv_cal_file mask_file FF_file FF_file2 FF_file3  
01052744   alfUMi      2459873.6399230  150 10.518 0.000 0.109 0.001 2.197 -15.751 0.084  996 0.212 0.003 6.778 0.13 231.79  0.01    /projects/astro/mercator21/STARS/alfUMi/20221020/reduced/01052730_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20221020/reduced/01052666_HRF_FF_ext.fits
01061192   alfUMi      2459965.5883592   30 -6.433 0.000 -0.022 0.002 2.091 -17.074 0.053  998 0.209 0.002 7.033 0.08 188.04  0.00    /projects/astro/mercator21/STARS/alfUMi/20230120/reduced/01061184_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20230120/reduced/01061135_HRF_FF_ext.fits
01061287   alfUMi      2459966.5815036   30 -6.614 0.000 0.023 0.002 2.116 -15.286 0.059  999 0.220 0.002 6.950 0.10 152.53  0.01    /projects/astro/mercator21/STARS/alfUMi/20230121/reduced/01061280_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20230121/reduced/01061239_HRF_FF_ext.fits
01061563   alfUMi      2459969.3435001   30 -7.102 0.000 -0.015 0.001 2.134 -17.068 0.045  998 0.210 0.001 6.847 0.07 229.23  0.00    /projects/astro/mercator21/STARS/alfUMi/20230124/reduced/01061555_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20230124/reduced/01061524_HRF_FF_ext.fits
01061675   alfUMi      2459970.4036333   30 -7.287 0.000 -0.108 0.001 2.092 -15.827 0.054 1001 0.222 0.002 6.891 0.09 259.83  0.01    /projects/astro/mercator21/STARS/alfUMi/20230125/reduced/01061668_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20230125/reduced/01061637_HRF_FF_ext.fits
01061810   alfUMi      2459971.5342160   60 -7.481 0.000 -0.051 0.002 2.047 -13.196 0.062 1001 0.222 0.002 6.969 0.10 328.94  0.01    /projects/astro/mercator21/STARS/alfUMi/20230126/reduced/01061812_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20230126/reduced/01061735_HRF_FF_ext.fits
01061938   alfUMi      2459972.7342156   30 -7.680 0.000 0.063 0.002 2.102 -15.719 0.043  998 0.212 0.001 6.844 0.07 254.50  0.00    /projects/astro/mercator21/STARS/alfUMi/20230127/reduced/01061925_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20230127/reduced/01061875_HRF_FF_ext.fits
01062237   alfUMi      2459977.6609046   60 -8.463 0.000 -0.034 0.004 2.069 -17.107 0.042 1001 0.217 0.001 6.547 0.06 163.15  0.00    /projects/astro/mercator21/STARS/alfUMi/20230201/reduced/01062229_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20230201/reduced/01062180_HRF_FF_ext.fits
01063667   alfUMi      2460000.4613495   30 -11.189 0.000 -0.073 0.001 2.117 -15.347 0.086  995 0.203 0.003 7.419 0.14 254.70  0.01    /projects/astro/mercator21/STARS/alfUMi/20230224/reduced/01063675_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20230224/reduced/01063622_HRF_FF_ext.fits
01063846   alfUMi      2460002.3954173   22 -11.339 0.000 -0.058 0.001 2.125 -15.052 0.080  997 0.215 0.003 7.272 0.13 240.20  0.01    /projects/astro/mercator21/STARS/alfUMi/20230226/reduced/01063836_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20230226/reduced/01063805_HRF_FF_ext.fits
01064254   alfUMi      2460007.4275866   30 -11.668 0.000 -0.038 0.001 2.144 -13.302 0.075  997 0.211 0.002 7.243 0.12 219.83  0.01    /projects/astro/mercator21/STARS/alfUMi/20230303/reduced/01064245_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20230303/reduced/01064214_HRF_FF_ext.fits
01064474   alfUMi      2460009.5459412   30 -11.780 0.000 -0.081 0.001 2.124 -17.090 0.043  998 0.209 0.001 7.131 0.07 248.46  0.00    /projects/astro/mercator21/STARS/alfUMi/20230305/reduced/01064442_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20230305/reduced/01064422_HRF_FF_ext.fits
01064583   alfUMi      2460010.6703870   30 -11.830 0.000 -0.009 0.001 2.117 -14.221 0.059 1000 0.219 0.002 7.058 0.09 274.08  0.01    /projects/astro/mercator21/STARS/alfUMi/20230306/reduced/01064560_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20230306/reduced/01064540_HRF_FF_ext.fits
01064684   alfUMi      2460011.6161302   30 -11.873 0.000 -0.006 0.001 2.120 -13.545 0.065  998 0.212 0.002 7.054 0.10 279.31  0.01    /projects/astro/mercator21/STARS/alfUMi/20230307/reduced/01064657_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20230307/reduced/01064637_HRF_FF_ext.fits
01064791   alfUMi      2460012.6898900   30 -11.914 0.000 -0.059 0.001 2.134 -16.604 0.051  997 0.204 0.002 6.948 0.08 282.69  0.00    /projects/astro/mercator21/STARS/alfUMi/20230308/reduced/01064764_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20230308/reduced/01064744_HRF_FF_ext.fits
01066070   alfUMi      2460024.5288461   30 -12.130 0.000 -0.006 0.001 2.141 -16.130 0.053 1001 0.212 0.002 6.781 0.08 176.21  0.01    /projects/astro/mercator21/STARS/alfUMi/20230320/reduced/01066073_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20230320/reduced/01066022_HRF_FF_ext.fits
01066178   alfUMi      2460025.5608350   30 -12.123 0.000 -0.017 0.001 2.119 -16.696 0.052 1001 0.219 0.002 6.748 0.08 284.40  0.01    /projects/astro/mercator21/STARS/alfUMi/20230321/reduced/01066179_HRF_TH_ext_wavelengthScale.fits HermesG2Mask.fits FF = /projects/astro/mercator21/STARS/alfUMi/20230321/reduced/01066128_HRF_FF_ext.fits
